Donor ID,First Name,Last Name, Age, Blood Type, Email Address, Allergens
0,Jill,Williams,94,0,JillWilliams@gmail.com,Peanuts
1,Jack,Williams,11,1,JackWilliams@gmail.com,Penicillin
2,Jack,Jones,79,2,JackJones@gmail.com,Penicillin
3,Jill,Wilson,71,3,JillWilson@gmail.com,Penicillin
4,Jill,Williams,73,0,JillWilliams@gmail.com,Cheese
5,Susan,Wilson,92,1,SusanWilson@gmail.com,Cheese
6,Jack,Johnson,71,2,JackJohnson@gmail.com,Cheese
7,Jill,Jones,88,3,JillJones@gmail.com,Penicillin
8,Sam,Williams,71,0,SamWilliams@gmail.com,Peanuts
9,Jill,Williams,86,1,JillWilliams@gmail.com,Penicillin
10,Jack,Black,32,2,jack@gmail.com,N/A
